,Harga_Prediksi,Batas_Bawah_CI_95%,Batas_Atas_CI_95%
2026-05-21,4534.687101850671,4462.207055033632,4607.16714866771
2026-05-22,4526.635544353428,4426.218916069124,4627.052172637731
2026-05-25,4527.72810496613,4408.843832911419,4646.6123770208405
2026-05-26,4526.348337999018,4390.40427636646,4662.292399631577
2026-05-27,4527.042094208976,4376.187426285017,4677.896762132935
2026-05-28,4527.380873425988,4361.9404726922185,4692.821274159758
2026-05-29,4526.95061892424,4348.128500379181,4705.7727374692995
2026-06-01,4527.016241497702,4335.914081039277,4718.118401956127
2026-06-02,4526.9958939659655,4324.2959710655505,4729.6958168663805
2026-06-03,4527.003446759604,4313.340775912957,4740.666117606252
2026-06-04,4527.024647399748,4302.913040559827,4751.136254239668
2026-06-05,4527.005210918591,4292.908589514889,4761.1018323222925
2026-06-08,4527.007229770883,4283.34197868672,4770.672480855046
2026-06-09,4527.008402813045,4274.1337622283445,4779.8830433977455
2026-06-10,4527.0077453936,4265.247424762088,4788.768066025113
2026-06-11,4527.00877622204,4256.654353755454,4797.363198688626
2026-06-12,4527.008040952741,4248.3242357076,4805.691846197882
2026-06-15,4527.008034035819,4240.236978970049,4813.779089101589
2026-06-16,4527.008173897593,4232.371676561792,4821.644671233395
2026-06-17,4527.008112757219,4224.710729465154,4829.305496049285
2026-06-18,4527.0081521456,4217.2392927425935,4836.777011548607
2026-06-19,4527.008130672978,4209.943798382814,4844.072462963142
2026-06-22,4527.00812486162,4202.812461069168,4851.203788654071
2026-06-23,4527.008133992294,4195.834663479206,4858.181604505381
2026-06-24,4527.008130728713,4189.0008704369675,4865.015391020458
2026-06-25,4527.008131742858,4182.302535815489,4871.713727670226
2026-06-26,4527.008131435433,4175.73190394894,4878.284358921926
2026-06-29,4527.008130950201,4169.281939691428,4884.734322208974
2026-06-30,4527.0081314128765,4162.9462302977745,4891.070032527979
2026-07-01,4527.008131287898,4156.7189093873685,4897.297353188428
