Date,Close,High,Low,Open,Volume,MA7,MA30,Return_Harian
2020-01-02,1524.5,1528.699951171875,1518.0,1518.0999755859375,214,,,
2020-01-03,1549.199951171875,1552.699951171875,1530.0999755859375,1530.0999755859375,107,,,1.6202001424647339
2020-01-06,1566.199951171875,1580.0,1560.4000244140625,1580.0,416,,,1.0973405974574524
2020-01-07,1571.800048828125,1576.300048828125,1558.300048828125,1558.300048828125,47,,,0.3575595601353454
2020-01-08,1557.4000244140625,1604.199951171875,1552.300048828125,1579.699951171875,236,,,-0.9161486173001832
2020-01-09,1551.699951171875,1555.699951171875,1543.300048828125,1555.699951171875,54,,,-0.36599930350791343
2020-01-10,1557.5,1558.800048828125,1545.4000244140625,1551.199951171875,16,1554.0428466796875,,0.3737867507016768
2020-01-13,1548.4000244140625,1558.0,1548.4000244140625,1557.4000244140625,48,1557.4571358816963,,-0.5842680954052937
2020-01-14,1542.4000244140625,1546.699951171875,1534.9000244140625,1546.699951171875,32,1556.4857177734375,,-0.38749676475047234
2020-01-15,1552.0999755859375,1553.9000244140625,1545.5999755859375,1548.0,11,1554.471435546875,,0.6288868658155033
2020-01-16,1549.0,1556.0999755859375,1548.5,1555.699951171875,98,1551.2142857142858,,-0.1997278290509108
2020-01-17,1558.800048828125,1558.800048828125,1553.5999755859375,1554.0999755859375,108,1551.4142892020088,,0.6326693885167822
2020-01-21,1556.4000244140625,1566.199951171875,1551.0,1559.300048828125,45,1552.085728236607,,-0.1539661495306488
2020-01-22,1555.300048828125,1557.0999755859375,1549.800048828125,1549.800048828125,42,1551.771449497768,,-0.0706743490544226
2020-01-23,1564.5999755859375,1564.5999755859375,1552.199951171875,1553.0999755859375,15,1554.085728236607,,0.5979506504111276
2020-01-24,1571.0999755859375,1571.0999755859375,1556.300048828125,1556.300048828125,43,1558.1857212611608,,0.41544165290976487
2020-01-27,1576.800048828125,1584.5,1576.800048828125,1584.300048828125,22,1561.7143031529017,,0.36280779904294125
2020-01-28,1569.199951171875,1576.4000244140625,1569.199951171875,1576.4000244140625,3,1564.6000104631696,,-0.4819950165462217
2020-01-29,1569.800048828125,1569.800048828125,1569.800048828125,1569.800048828125,251274,1566.1714390345983,,0.0382422683483874
2020-01-30,1583.5,1585.0,1571.4000244140625,1576.800048828125,62336,1570.0428641183037,,0.8727195022131706
2020-01-31,1582.9000244140625,1589.0,1570.0,1573.4000244140625,1095,1573.9857177734375,,-0.037889206563779254
2020-02-03,1577.199951171875,1593.300048828125,1568.199951171875,1592.9000244140625,1062,1575.7857142857142,,-0.3601031748229011
2020-02-04,1550.4000244140625,1577.699951171875,1547.800048828125,1577.699951171875,978,1572.828578404018,,-1.699209205395924
2020-02-05,1557.800048828125,1560.699951171875,1547.699951171875,1553.199951171875,1305,1570.114292689732,,0.47729774880900244
2020-02-06,1565.0999755859375,1565.5999755859375,1551.5999755859375,1553.5999755859375,110,1569.5285818917412,,0.46860486127882073
2020-02-07,1568.5999755859375,1571.9000244140625,1560.5,1564.9000244140625,431,1569.357142857143,,0.22362788669072486
2020-02-10,1574.699951171875,1574.699951171875,1568.5999755859375,1569.300048828125,128,1568.0999930245537,,0.3888802550604975
2020-02-11,1565.5999755859375,1571.0999755859375,1561.9000244140625,1570.9000244140625,440,1565.6285574776787,,-0.5778863191787997
2020-02-12,1567.4000244140625,1568.699951171875,1561.0,1565.199951171875,36,1564.2285679408483,,0.11497501636401619
2020-02-13,1575.0999755859375,1575.0999755859375,1570.199951171875,1570.199951171875,74,1567.7571323939733,1562.0166666666667,0.4912562876061788
2020-02-14,1582.699951171875,1582.699951171875,1574.800048828125,1575.800048828125,68,1571.3142613002233,1563.9566650390625,0.4825075045227001
2020-02-18,1600.0,1604.300048828125,1579.800048828125,1579.800048828125,310,1576.2999790736608,1565.65,1.09307192530812
2020-02-19,1607.5,1610.5,1599.699951171875,1600.5999755859375,542,1581.8571254185267,1567.0266682942708,0.46874999999999556
2020-02-20,1616.5999755859375,1621.0,1603.0,1606.5,117,1587.8428431919642,1568.519999186198,0.566094904257386
2020-02-21,1644.5999755859375,1645.0,1619.300048828125,1619.300048828125,186,1599.1285574776787,1571.4266642252603,1.7320302129691267
2020-02-24,1672.4000244140625,1686.5999755859375,1650.0,1657.0,435,1614.1285574776787,1575.45,1.690383633759951
2020-02-25,1646.9000244140625,1653.699951171875,1632.300048828125,1645.0999755859375,409,1624.385707310268,1578.430000813802,-1.5247548210802098
2020-02-26,1640.0,1648.0999755859375,1636.4000244140625,1644.0,1990,1632.5714285714287,1581.4833333333333,-0.4189704482223999
2020-02-27,1640.0,1658.0,1638.5,1641.0999755859375,707,1638.2857142857142,1584.7366658528647,0.0
2020-02-28,1564.0999755859375,1642.5,1564.0999755859375,1640.300048828125,289,1632.0857107979912,1585.1366658528646,-4.628050269150153
2020-03-02,1592.300048828125,1608.300048828125,1574.300048828125,1583.9000244140625,537,1628.614292689732,1586.5800008138021,1.8029584861813719
2020-03-03,1642.0999755859375,1645.300048828125,1594.0,1594.5,610,1628.2571498325892,1589.3566650390626,3.127546645147916
2020-03-04,1641.0999755859375,1645.9000244140625,1631.300048828125,1645.4000244140625,83,1623.7857142857142,1592.1799967447917,-0.06089763198755538
2020-03-05,1666.4000244140625,1672.9000244140625,1637.199951171875,1637.300048828125,154,1626.5714285714287,1595.8833292643228,1.5416518922981348
2020-03-06,1670.800048828125,1686.199951171875,1647.199951171875,1670.800048828125,175,1630.971435546875,1599.4233317057292,0.2640437079691971
2020-03-09,1674.5,1701.5999755859375,1657.699951171875,1696.0999755859375,161,1635.9000069754463,1602.869999186198,0.22144787309947844
2020-03-10,1659.0999755859375,1674.5999755859375,1643.0,1671.5999755859375,48,1649.471435546875,1605.613330078125,-0.9196789736675148
2020-03-11,1641.4000244140625,1666.5,1635.0,1656.5999755859375,47,1656.4857177734375,1608.019999186198,-1.0668405420007354
2020-03-12,1589.300048828125,1647.5,1566.4000244140625,1637.0,256,1648.94287109375,1608.6699991861979,-3.1741181193497225
2020-03-13,1515.699951171875,1589.800048828125,1513.800048828125,1574.9000244140625,89,1631.0285818917412,1606.4099975585937,-4.630975611591981
2020-03-16,1485.9000244140625,1569.0999755859375,1452.0999755859375,1569.0999755859375,193,1605.2428676060267,1603.1766642252603,-1.9660835071461547
2020-03-17,1524.9000244140625,1537.699951171875,1469.300048828125,1469.300048828125,122,1584.4000069754463,1601.4333333333334,2.6246718728858642
2020-03-18,1477.300048828125,1542.0,1477.300048828125,1537.5,333,1556.2285853794642,1598.9966674804687,-3.1215145139910194
2020-03-19,1478.5999755859375,1491.5999755859375,1471.0,1481.5,262,1530.44287109375,1596.3566650390626,0.08799341466505517
2020-03-20,1484.0,1484.0,1483.5,1483.5,14,1507.9571533203125,1593.6533325195312,0.3652119912907814
2020-03-23,1567.0,1567.0,1490.199951171875,1505.300048828125,51,1504.7714320591517,1593.6,5.5929919137466255
2020-03-24,1660.199951171875,1685.5,1592.699951171875,1592.699951171875,442,1525.4142892020088,1596.45,5.947667592334072
2020-03-25,1632.300048828125,1676.5,1631.0999755859375,1676.5,476,1546.328578404018,1598.6733357747396,-1.6805145864542737
2020-03-26,1650.0999755859375,1660.5,1650.0999755859375,1660.5,3,1564.2142857142858,1601.430000813802,1.0904812978834055
2020-03-27,1623.9000244140625,1623.9000244140625,1623.9000244140625,1623.9000244140625,100638,1585.1571393694196,1603.0566691080728,-1.587779623023844
2020-03-30,1622.0,1652.800048828125,1607.199951171875,1641.199951171875,16389,1605.642857142857,1604.3666707356772,-0.11700378012791113
2020-03-31,1583.4000244140625,1621.0,1576.0,1618.699951171875,2874,1619.8428606305804,1603.813338216146,-2.3797765466052723
2020-04-01,1578.199951171875,1600.0,1570.0,1570.0,2158,1621.4428536551338,1602.836669921875,-0.32841184552284686
2020-04-02,1625.699951171875,1631.199951171875,1586.0,1590.9000244140625,1294,1616.5142822265625,1603.1400024414063,3.009758045216593
2020-04-03,1633.699951171875,1636.0,1619.800048828125,1624.5,643,1616.7142682756696,1602.7766682942708,0.49209572739625784
2020-04-06,1677.0,1696.699951171875,1625.9000244140625,1629.0999755859375,1063,1620.55712890625,1602.930000813802,2.6504284827250757
2020-04-07,1664.800048828125,1724.4000244140625,1658.0,1695.699951171875,1144,1626.3999895368304,1603.5266682942708,-0.7274866530635027
2020-04-08,1665.4000244140625,1677.0,1662.5,1669.699951171875,747,1632.5999930245537,1604.3733357747396,0.03603889766581325
2020-04-09,1736.199951171875,1736.199951171875,1662.699951171875,1662.699951171875,825,1654.4285539899554,1607.5800008138021,4.251226475316172
2020-04-13,1744.800048828125,1756.800048828125,1710.699951171875,1722.0,696,1678.2285679408483,1613.6033365885417,0.4953402775092375
2020-04-14,1756.699951171875,1775.0,1739.5,1756.800048828125,675,1696.9428536551338,1619.0833333333333,0.6820209772313124
2020-04-15,1727.199951171875,1744.9000244140625,1722.699951171875,1739.4000244140625,642,1710.2999965122767,1621.9199991861979,-1.6792850697309403
2020-04-16,1720.4000244140625,1750.5999755859375,1715.0,1731.0,162,1716.5,1624.5633341471355,-0.39369655801569925
2020-04-17,1689.199951171875,1725.0,1684.9000244140625,1715.699951171875,223,1719.9857003348213,1625.323331705729,-1.8135359683463026
2020-04-20,1701.5999755859375,1701.5999755859375,1680.0,1686.0,106,1725.1571219308037,1626.3499959309895,0.7340767684405947
2020-04-21,1678.199951171875,1707.0999755859375,1659.9000244140625,1697.0,666,1716.8714076450892,1626.4733276367188,-1.3751777591560432
2020-04-22,1728.699951171875,1728.699951171875,1684.800048828125,1696.0,453,1714.5713936941963,1628.7933268229167,3.0091765861830932
2020-04-23,1733.300048828125,1745.0999755859375,1733.300048828125,1734.0,482,1711.228550502232,1631.8566609700522,0.2661015668526945
2020-04-24,1723.5,1744.0,1714.5,1744.0,221,1710.699986049107,1636.3299926757813,-0.5653982895085452
2020-04-27,1711.9000244140625,1731.9000244140625,1711.9000244140625,1731.9000244140625,169,1709.4857003348213,1642.8699951171875,-0.6730476116006634
2020-04-28,1710.5,1716.5999755859375,1707.0999755859375,1716.5999755859375,1255,1712.528564453125,1650.3566609700522,-0.08178190280367925
2020-04-29,1703.4000244140625,1713.5,1702.0,1710.0,373,1712.7857142857142,1656.306660970052,-0.41508188166836657
2020-04-30,1684.199951171875,1719.300048828125,1680.800048828125,1719.300048828125,327,1713.642857142857,1663.2033243815104,-1.1271617334156159
2020-05-01,1694.5,1701.5,1670.5,1686.5999755859375,337,1708.7571498325892,1670.399991861979,0.6115692392080874
2020-05-04,1706.9000244140625,1709.0,1699.5999755859375,1702.5999755859375,320,1704.9857177734375,1677.8299926757813,0.7317807267077203
2020-05-05,1704.4000244140625,1704.4000244140625,1697.199951171875,1701.5,82,1702.2571498325892,1682.4099934895833,-0.14646434848216705
2020-05-06,1684.199951171875,1704.0,1684.199951171875,1704.0,469,1698.2999965122767,1683.2099934895834,-1.185172081250807
2020-05-07,1721.800048828125,1721.800048828125,1685.5999755859375,1686.199951171875,853,1699.9142892020088,1686.1933268229166,2.23251981631325
2020-05-08,1709.9000244140625,1728.9000244140625,1703.800048828125,1726.199951171875,330,1700.8428606305804,1688.186661783854,-0.6911385803573311
2020-05-11,1695.300048828125,1704.5,1690.199951171875,1702.300048828125,749,1702.4285888671875,1690.5666625976562,-0.8538496624058811
2020-05-12,1704.4000244140625,1713.0999755859375,1699.300048828125,1699.300048828125,324,1703.8428780691963,1693.313330078125,0.5367766957965925
2020-05-13,1713.9000244140625,1721.300048828125,1701.9000244140625,1702.0,431,1704.8428780691963,1697.663330078125,0.5573808885191767
2020-05-14,1738.0999755859375,1743.0999755859375,1720.5,1724.300048828125,672,1709.6571568080358,1702.9933308919271,1.411981494086767
2020-05-15,1753.4000244140625,1753.4000244140625,1739.699951171875,1739.699951171875,719,1719.5428815569196,1707.25,0.8802743825462089
2020-05-18,1731.800048828125,1770.5,1731.800048828125,1755.699951171875,229,1720.9714529854912,1710.5200032552084,-1.231890913949063
2020-05-19,1744.199951171875,1749.5,1744.199951171875,1744.199951171875,167,1725.8714425223213,1712.7600016276042,0.7160123567464316
2020-05-20,1750.5999755859375,1752.0999755859375,1745.5999755859375,1751.5999755859375,16,1733.7714320591517,1715.619999186198,0.36693180789062474
2020-05-21,1720.5,1746.800048828125,1720.5,1746.800048828125,528,1736.0714285714287,1717.4566650390625,-1.7194091172006765
2020-05-22,1734.5999755859375,1734.5999755859375,1726.5999755859375,1726.5999755859375,6,1739.028564453125,1717.4033325195312,0.8195277876162477
2020-05-26,1704.800048828125,1726.4000244140625,1704.800048828125,1726.4000244140625,39,1734.2714320591517,1716.069999186198,-1.7179711274783238
2020-05-27,1710.300048828125,1710.300048828125,1685.5999755859375,1685.5999755859375,137416,1728.114292689732,1714.5233357747395,0.3226184797320286
2020-05-28,1713.300048828125,1727.800048828125,1705.0,1709.300048828125,23355,1725.471435546875,1714.0600056966146,0.17540781818112805
2020-05-29,1736.9000244140625,1738.300048828125,1715.0999755859375,1718.800048828125,1526,1724.4285888671875,1714.6100056966145,1.3774572411924924
2020-06-01,1737.800048828125,1747.0,1727.0999755859375,1740.4000244140625,871,1722.6000279017858,1716.2300089518228,0.05181785948595863
2020-06-02,1725.199951171875,1745.5,1721.800048828125,1743.0,741,1723.271449497768,1717.0166748046875,-0.7250602659809369
2020-06-03,1697.800048828125,1726.300048828125,1684.5,1726.300048828125,2755,1718.0143171037946,1717.670011393229,-1.5882160398357326
2020-06-04,1718.9000244140625,1718.9000244140625,1694.5,1694.5,807,1720.028599330357,1717.3433471679687,1.2427833065796756
2020-06-05,1676.199951171875,1711.800048828125,1668.5999755859375,1711.800048828125,1502,1715.1571568080358,1715.440010579427,-2.484151063802742
2020-06-08,1698.300048828125,1699.4000244140625,1675.9000244140625,1679.0999755859375,587,1713.0142996651787,1714.6000122070313,1.3184642823070858
2020-06-09,1714.699951171875,1720.9000244140625,1692.0,1694.5999755859375,690,1709.8428606305804,1714.6933430989584,0.9656657759072873
2020-06-10,1713.300048828125,1740.800048828125,1711.9000244140625,1716.0999755859375,718,1706.3428606305804,1714.7866780598958,-0.08164124241055726
2020-06-11,1732.0,1744.0999755859375,1720.0,1737.199951171875,347,1707.3142961774554,1715.740010579427,1.0914580423122988
2020-06-12,1729.300048828125,1743.0,1724.9000244140625,1724.9000244140625,318,1711.8142961774554,1717.2433471679688,-0.15588632632073107
2020-06-15,1720.300048828125,1730.0,1703.300048828125,1730.0,188,1712.0142996651787,1718.1033487955729,-0.5204417825639296
2020-06-16,1729.5999755859375,1729.5999755859375,1722.4000244140625,1726.300048828125,22,1719.6428745814733,1718.8600138346353,0.5405991102626295
2020-06-17,1729.199951171875,1729.199951171875,1714.699951171875,1714.699951171875,51,1724.0571463448662,1719.686678059896,-0.023128146375406278
2020-06-18,1724.800048828125,1734.0999755859375,1717.300048828125,1730.5,110,1725.5000174386162,1721.0400146484376,-0.254447285912085
