Tanggal,Prediksi,CI_Bawah_95,CI_Atas_95,Aset,Ticker
2026-05-22,4534.609282524278,4463.798145879787,4605.420419168769,Emas,GC=F
2026-05-25,4537.988673449676,4439.302202839368,4636.675144059984,Emas,GC=F
2026-05-26,4539.87844941983,4424.01618450492,4655.74071433474,Emas,GC=F
2026-05-27,4541.677646359517,4408.743755402568,4674.611537316466,Emas,GC=F
2026-05-28,4543.476843299204,4395.426938541737,4691.526748056671,Emas,GC=F
2026-05-29,4545.276040238892,4383.516560663703,4707.035519814081,Emas,GC=F
2026-06-01,4547.07523717858,4372.680615225444,4721.4698591317165,Emas,GC=F
2026-06-02,4548.874434118267,4362.700217052858,4735.048651183677,Emas,GC=F
2026-06-03,4550.6736310579545,4353.422030218672,4747.925231897237,Emas,GC=F
2026-06-04,4552.4728279976425,4344.733691176001,4760.211964819284,Emas,GC=F
2026-06-05,4554.27202493733,4336.549945438852,4771.9941044358075,Emas,GC=F
2026-06-08,4556.071221877017,4328.804288877773,4783.338154876261,Emas,GC=F
2026-06-09,4557.870418816705,4321.443656861498,4794.297180771911,Emas,GC=F
2026-06-10,4559.669615756392,4314.424903881977,4804.914327630807,Emas,GC=F
2026-06-11,4561.468812696079,4307.712386893488,4815.2252384986705,Emas,GC=F
2026-06-12,4563.268009635767,4301.2762567696755,4825.259762501859,Emas,GC=F
2026-06-15,4565.067206575455,4295.091219673679,4835.043193477231,Emas,GC=F
2026-06-16,4566.866403515142,4289.135619414191,4844.597187616094,Emas,GC=F
2026-06-17,4568.6656004548295,4283.390744620898,4853.940456288761,Emas,GC=F
2026-06-18,4570.4647973945175,4277.840296874121,4863.089297914914,Emas,GC=F
2026-06-19,4572.263994334205,4272.4699763175795,4872.05801235083,Emas,GC=F
2026-06-22,4574.063191273892,4267.267154512831,4880.859228034952,Emas,GC=F
2026-06-23,4575.86238821358,4262.220613084636,4889.5041633425235,Emas,GC=F
2026-06-24,4577.661585153268,4257.320332674328,4898.002837632208,Emas,GC=F
2026-06-25,4579.460782092954,4252.557320848633,4906.364243337275,Emas,GC=F
2026-06-26,4581.259979032642,4247.923470520211,4914.596487545074,Emas,GC=F
2026-06-29,4583.05917597233,4243.411442517506,4922.706909427155,Emas,GC=F
2026-06-30,4584.858372912017,4239.014567452471,4930.702178371564,Emas,GC=F
2026-07-01,4586.6575698517045,4234.726763146065,4938.5883765573435,Emas,GC=F
2026-07-02,4588.4567667913925,4230.542464699086,4946.371068883699,Emas,GC=F
2026-05-21,77426.190482336,74438.74016490002,80413.64079977197,Bitcoin,BTC-USD
2026-05-22,77430.95597462688,73307.89509830845,81554.0168509453,Bitcoin,BTC-USD
2026-05-23,77426.47371548387,72411.0378285951,82441.90960237263,Bitcoin,BTC-USD
2026-05-24,77426.47371548387,71664.56274322476,83188.38468774298,Bitcoin,BTC-USD
2026-05-25,77426.47371548387,71004.27479541075,83848.67263555698,Bitcoin,BTC-USD
2026-05-26,77426.47371548387,70405.81421044187,84447.13322052587,Bitcoin,BTC-USD
2026-05-27,77426.47371548387,69854.50694307362,84998.44048789411,Bitcoin,BTC-USD
2026-05-28,77426.47371548387,69340.7021555625,85512.24527540524,Bitcoin,BTC-USD
2026-05-29,77426.47371548387,68857.65100545062,85995.29642551711,Bitcoin,BTC-USD
2026-05-30,77426.47371548387,68400.41457803469,86452.53285293304,Bitcoin,BTC-USD
2026-05-31,77426.47371548387,67965.24945699183,86887.6979739759,Bitcoin,BTC-USD
2026-06-01,77426.47371548387,67549.23799964583,87303.7094313219,Bitcoin,BTC-USD
2026-06-02,77426.47371548387,67150.05379885071,87702.89363211702,Bitcoin,BTC-USD
2026-06-03,77426.47371548387,66765.80641837142,88087.14101259632,Bitcoin,BTC-USD
2026-06-04,77426.47371548387,66394.93492271015,88458.01250825758,Bitcoin,BTC-USD
2026-06-05,77426.47371548387,66036.13267347729,88816.81475749044,Bitcoin,BTC-USD
2026-06-06,77426.47371548387,65688.2928525917,89164.65457837604,Bitcoin,BTC-USD
2026-06-07,77426.47371548387,65350.46813057641,89502.47930039132,Bitcoin,BTC-USD
2026-06-08,77426.47371548387,65021.840234261435,89831.10719670629,Bitcoin,BTC-USD
